,Theta,Height,Pressure,Density
92,200.0,3607.843137254902,50749.01213829732,1.0731964943363421
93,200.0,3647.058823529412,50337.34462919926,1.066970984155136
94,200.0,3686.274509803922,49928.067932864746,1.0607671925074789
95,200.0,3725.490196078432,49521.17369891556,1.0545850940784989
96,200.0,3764.7058823529414,49116.653586717955,1.0484246635237486
97,200.0,3803.921568627451,48714.49926539404,1.0422858754691005
98,200.0,3843.137254901961,48314.70241383323,1.0361687045106427
99,200.0,3882.3529411764707,47917.25472070373,1.030073125214575
100,200.0,3921.568627450981,47522.147884464044,1.0239991121171017
101,200.0,3960.7843137254904,47129.37361337455,1.017946639724326
102,200.0,4000.0000000000005,46738.92362550906,1.0119156825121427
103,200.0,4039.21568627451,46350.78964876652,1.0059062149261309
104,200.0,4078.43137254902,45964.963420882654,0.999918211381445
105,200.0,4117.64705882353,45581.43668944169,0.9939516462627062
106,200.0,4156.862745098039,45200.20121188815,0.9880064939238935
107,200.0,4196.078431372549,44821.24875553864,0.9820827286882328
108,200.0,4235.2941176470595,44444.5710975937,0.9761803248480858
109,200.0,4274.509803921569,44070.16002514975,0.9702992566648391
110,200.0,4313.725490196079,43698.00733521093,0.9644394983687911
111,200.0,4352.941176470588,43328.10483470117,0.9586010241590404
112,200.0,4392.156862745098,42960.44434047616,0.9527838082033708
113,200.0,4431.372549019608,42595.01767933546,0.9469878246381378
114,200.0,4470.588235294118,42231.81668803461,0.9412130475681537
115,200.0,4509.803921568628,41870.83321329723,0.9354594510665711
116,200.0,4549.019607843137,41512.05911182728,0.9297270091747671
117,200.0,4588.235294117648,41155.486250321286,0.9240156959022268
118,200.0,4627.450980392157,40801.10650548066,0.918325485226424
119,200.0,4666.666666666667,40448.911764023986,0.9126563510927036
120,200.0,4705.882352941177,40098.89392269943,0.9070082674141621
121,200.0,4745.098039215686,39751.04488829719,0.9013812080715279
122,200.0,4784.313725490197,39405.356577661914,0.8957751469130394
123,200.0,4823.529411764706,39061.820917705314,0.8901900577543255
124,200.0,4862.745098039216,38720.429845418636,0.8846259143782806
125,200.0,4901.9607843137255,38381.17530788533,0.8790826905349438
126,200.0,4941.176470588236,38044.0492622937,0.873560359941374
127,200.0,4980.392156862746,37709.04367594965,0.8680588962815259
128,200.0,5019.607843137255,37376.15052628938,0.8625782732061233
129,200.0,5058.823529411765,37045.361800892235,0.8571184643325349
130,200.0,5098.0392156862745,36716.66949749357,0.8516794432446454
131,200.0,5137.254901960785,36390.06562399761,0.8462611834927286
132,200.0,5176.470588235295,36065.542198490475,0.8408636585933194
133,200.0,5215.686274509804,35743.09124925311,0.8354868420290823
134,200.0,5254.901960784314,35422.70481477439,0.8301307072486837
135,200.0,5294.117647058824,35104.3749437642,0.8247952276666587
136,200.0,5333.333333333334,34788.09369516662,0.8194803766632804
137,200.0,5372.549019607844,34473.85313817309,0.8141861275844268
138,200.0,5411.764705882353,34161.645352235704,0.8089124537414463
139,200.0,5450.980392156863,33851.46242708049,0.8036593284110246
140,200.0,5490.196078431373,33543.296462720806,0.7984267248350481
141,200.0,5529.411764705883,33237.13956947072,0.7932146162204683
142,200.0,5568.6274509803925,32932.98386795849,0.7880229757391642
143,200.0,5607.843137254902,32630.821489140082,0.7828517765278045
144,200.0,5647.058823529413,32330.644574312737,0.7777009916877078
145,200.0,5686.274509803922,32032.445275128634,0.7725705942847042
146,200.0,5725.490196078432,31736.215753608507,0.7674605573489933
147,200.0,5764.705882352941,31441.94818215542,0.7623708538750028
148,200.0,5803.921568627451,31149.634743568557,0.7573014568212453
149,200.0,5843.137254901962,30859.267631057035,0.7522523391101753
150,200.0,5882.352941176471,30570.83904825386,0.7472234736280445
151,200.0,5921.568627450981,30284.34120922982,0.7422148332247558
152,200.0,5960.78431372549,29999.76633850754,0.7372263907137168
153,200.0,6000.0,29717.106671075526,0.7322581188716926
154,200.0,6039.2156862745105,29436.354452402295,0.7273099904386566
155,200.0,6078.43137254902,29157.501938450583,0.7223819781176417
156,200.0,6117.64705882353,28880.541395691547,0.7174740545745892
157,200.0,6156.862745098039,28605.465101119087,0.7125861924381975
158,200.0,6196.07843137255,28332.26534226419,0.7077183642997685
159,200.0,6235.2941176470595,28060.93441720937,0.702870542713056
160,200.0,6274.509803921569,27791.46463460311,0.6980427001941084
161,200.0,6313.725490196079,27523.84831367442,0.6932348092211147
162,200.0,6352.941176470588,27258.077784247424,0.6884468422342469
163,200.0,6392.156862745099,26994.145386756005,0.683678771635502
