,Pressure,Density
1770,41155.53231492782,0.4620082173204815
1771,40978.06892149961,0.4605843479026397
1772,40801.15279193231,0.4591631146796383
1773,40624.7829123796,0.4577445160225566
1774,40448.95826962197,0.4563285503014665
1775,40273.677851067194,0.45491521588543005
1776,40098.94064475065,0.4535045111424978
1777,39924.74563933571,0.45209643443970704
1778,39751.091824114206,0.4506909841430796
1779,39577.97818900671,0.4492881586176202
1780,39405.40372456301,0.44788795622731453
1781,39233.36742196247,0.4464903753351271
1782,39061.86827301443,0.44509541430299965
1783,38890.90527015859,0.44370307149184907
1784,38720.47740646544,0.4423133452615656
1785,38550.58367563658,0.44092623397101055
1786,38381.22307200522,0.4395417359780149
1787,38212.39459053646,0.43815984963937654
1788,38044.09722682779,0.4367805733108595
1789,37876.32997710945,0.43540390534719103
1790,37709.0918382448,0.43402984410205975
1791,37542.381807730766,0.4326583879281142
1792,100000.0,0.8040739748056821
1793,99691.00952235036,0.8022985389692032
1794,99382.70161246766,0.8005254573628499
1795,99075.07536486606,0.7987547289451311
1796,98768.12987446047,0.7969863526740942
1797,98461.86423656675,0.7952203275073251
1798,98156.27754690185,0.7934566524019472
1799,97851.36890158402,0.7916953263146209
1800,97547.13739713296,0.789936348201543
1801,97243.58213047005,0.7881797170184461
1802,96940.70219891849,0.7864254317205982
1803,96638.49670020345,0.784673491262801
1804,96336.96473245232,0.7829238945993912
1805,96036.10539419483,0.7811766406842378
1806,95735.91778436326,0.779431728470743
1807,95436.40100229262,0.7776891569118412
1808,95137.55414772082,0.7759489249599975
1809,94839.37632078883,0.7742110315672084
1810,94541.8666220409,0.7724754756850002
1811,94245.02415242475,0.7707422562644288
1812,93948.84801329169,0.7690113722560791
1813,93653.33730639685,0.7672828226100641
1814,93358.49113389934,0.7655566062760242
1815,93064.30859836246,0.7638327222031271
1816,92770.78880275386,0.7621111693400668
1817,92477.9308504457,0.7603919466350629
1818,92185.73384521488,0.7586750530358599
1819,91894.19689124319,0.7569604874897267
1820,91603.31909311752,0.7552482489434562
1821,91313.09955582999,0.7535383363433642
1822,91023.53738477822,0.751830748635289
